N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,100,40,32,32,1,0.757,3.945, 329.961
1000000,5000,100,80,32,32,1,0.840,5.848, 331.669
1000000,5000,100,150,32,32,1,0.880,10.607, 364.609
1000000,5000,100,40,32,32,10,0.757,3.975, 339.309
1000000,5000,100,80,32,32,10,0.840,5.888, 356.709
1000000,5000,100,150,32,32,10,0.880,8.787, 338.389
1000000,5000,100,40,64,64,1,0.892,6.292, 335.278
1000000,5000,100,80,64,64,1,0.925,9.436, 338.634
1000000,5000,100,150,64,64,1,0.940,13.450, 331.656
1000000,5000,100,40,64,64,10,0.892,7.785, 356.308
1000000,5000,100,80,64,64,10,0.925,10.967, 359.401
1000000,5000,100,150,64,64,10,0.940,13.877, 341.670
