N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,100,10,16,16,1,0.311,0.236644,15.088
1000000,5000,100,20,16,16,1,0.461,0.183346,13.844
1000000,5000,100,40,16,16,1,0.605,0.406628,16.496
1000000,5000,100,80,16,16,1,0.734,0.462834,14.527
1000000,5000,100,150,16,16,1,0.810,0.339717,13.747
1000000,5000,100,10,16,16,10,0.311,0.350683,16.040
1000000,5000,100,20,16,16,10,0.461,0.140437,13.632
1000000,5000,100,40,16,16,10,0.605,0.287484,15.033
1000000,5000,100,80,16,16,10,0.734,0.352963,14.252
1000000,5000,100,150,16,16,10,0.810,0.486932,15.851
1000000,5000,100,10,32,32,1,0.508,0.168673,13.804
1000000,5000,100,20,32,32,1,0.647,0.204490,13.844
1000000,5000,100,40,32,32,1,0.757,0.247885,14.409
1000000,5000,100,80,32,32,1,0.840,0.385375,14.007
1000000,5000,100,150,32,32,1,0.880,0.488154,14.837
1000000,5000,100,10,32,32,10,0.508,0.161625,14.119
1000000,5000,100,20,32,32,10,0.647,0.205994,13.989
1000000,5000,100,40,32,32,10,0.757,0.437305,15.606
1000000,5000,100,80,32,32,10,0.840,0.401132,13.994
1000000,5000,100,150,32,32,10,0.880,0.475391,14.108
1000000,5000,100,10,64,64,1,0.727,0.439874,16.023
1000000,5000,100,20,64,64,1,0.835,0.407763,15.659
1000000,5000,100,40,64,64,1,0.892,0.533505,16.011
1000000,5000,100,80,64,64,1,0.925,0.602833,15.210
1000000,5000,100,150,64,64,1,0.940,0.849950,15.914
1000000,5000,100,10,64,64,10,0.727,0.414090,16.027
1000000,5000,100,20,64,64,10,0.835,0.468327,16.087
1000000,5000,100,40,64,64,10,0.892,0.541032,14.887
1000000,5000,100,80,64,64,10,0.925,0.643416,15.694
1000000,5000,100,150,64,64,10,0.940,0.813682,14.666
