N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,100,40,32,32,1,,2.425, 454.335
1000000,5000,100,80,32,32,1,,2.133, 453.218
1000000,5000,100,150,32,32,1,,2.699, 440.093
1000000,5000,100,40,32,32,10,,1.687, 448.171
1000000,5000,100,80,32,32,10,,3.171, 463.437
1000000,5000,100,150,32,32,10,,2.681, 444.822
1000000,5000,100,40,64,64,1,,2.611, 445.760
1000000,5000,100,80,64,64,1,,5.287, 464.571
1000000,5000,100,150,64,64,1,,6.726, 453.126
1000000,5000,100,40,64,64,10,,2.640, 449.060
1000000,5000,100,80,64,64,10,,3.473, 444.253
1000000,5000,100,150,64,64,10,,6.669, 461.995
