N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,40,10,16,16,1,0.056,0.268965,24.238
1000000,5000,40,20,16,16,1,0.060,0.323115,24.696
1000000,5000,40,40,16,16,1,0.064,0.236549,26.729
1000000,5000,40,80,16,16,1,0.067,0.040139,24.699
1000000,5000,40,150,16,16,1,0.069,0.299416,27.474
1000000,5000,40,10,16,16,10,0.056,0.256828,30.149
1000000,5000,40,20,16,16,10,0.060,0.033761,26.080
1000000,5000,40,40,16,16,10,0.064,0.035767,25.251
1000000,5000,40,80,16,16,10,0.067,0.288486,25.920
1000000,5000,40,150,16,16,10,0.069,0.286011,30.942
1000000,5000,40,10,32,32,1,0.068,0.035618,25.338
1000000,5000,40,20,32,32,1,0.075,0.333407,31.009
1000000,5000,40,40,32,32,1,0.082,0.339779,25.582
1000000,5000,40,80,32,32,1,0.087,0.305141,25.054
1000000,5000,40,150,32,32,1,0.090,0.060813,24.726
1000000,5000,40,10,32,32,10,0.068,0.246021,24.783
1000000,5000,40,20,32,32,10,0.075,0.289014,26.461
1000000,5000,40,40,32,32,10,0.082,0.273015,26.942
1000000,5000,40,80,32,32,10,0.087,0.311055,25.324
1000000,5000,40,150,32,32,10,0.090,0.342757,26.817
1000000,5000,40,10,64,64,1,0.064,0.297138,24.900
1000000,5000,40,20,64,64,1,0.071,0.277798,27.542
1000000,5000,40,40,64,64,1,0.077,0.305784,25.175
1000000,5000,40,80,64,64,1,0.083,0.345697,25.323
1000000,5000,40,150,64,64,1,0.086,0.427557,29.959
1000000,5000,40,10,64,64,10,0.064,0.331597,24.997
1000000,5000,40,20,64,64,10,0.071,0.314331,25.674
1000000,5000,40,40,64,64,10,0.077,0.343332,33.547
1000000,5000,40,80,64,64,10,0.083,0.135766,25.289
1000000,5000,40,150,64,64,10,0.086,0.193794,24.591
