N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,100,10,16,16,1,0.126,0.303608,22.158
1000000,5000,100,20,16,16,1,0.168,0.034503,20.907
1000000,5000,100,40,16,16,1,0.205,0.306269,21.056
1000000,5000,100,80,16,16,1,0.231,0.337842,23.428
1000000,5000,100,150,16,16,1,0.249,0.373379,19.633
1000000,5000,100,10,16,16,10,0.123,0.290854,21.121
1000000,5000,100,20,16,16,10,0.168,0.284657,20.437
1000000,5000,100,40,16,16,10,0.203,0.052314,20.898
1000000,5000,100,80,16,16,10,0.226,0.327533,20.674
1000000,5000,100,150,16,16,10,0.241,0.355452,21.248
1000000,5000,100,10,32,32,1,0.213,0.061134,20.771
1000000,5000,100,20,32,32,1,0.276,0.078672,20.656
1000000,5000,100,40,32,32,1,0.328,0.354230,21.139
1000000,5000,100,80,32,32,1,0.370,0.411716,21.231
1000000,5000,100,150,32,32,1,0.392,0.427208,19.961
1000000,5000,100,10,32,32,10,0.211,0.332855,20.581
1000000,5000,100,20,32,32,10,0.273,0.427687,20.975
1000000,5000,100,40,32,32,10,0.331,0.401248,19.555
1000000,5000,100,80,32,32,10,0.366,0.438026,19.976
1000000,5000,100,150,32,32,10,0.388,0.267930,20.633
1000000,5000,100,10,64,64,1,0.305,0.414913,19.730
1000000,5000,100,20,64,64,1,0.386,0.427336,20.164
1000000,5000,100,40,64,64,1,0.447,0.439009,20.536
1000000,5000,100,80,64,64,1,0.484,0.342292,21.203
1000000,5000,100,150,64,64,1,0.501,0.593262,20.555
1000000,5000,100,10,64,64,10,0.307,0.379361,20.230
1000000,5000,100,20,64,64,10,0.387,0.421997,21.086
1000000,5000,100,40,64,64,10,0.446,0.439431,21.548
1000000,5000,100,80,64,64,10,0.478,0.471656,20.394
1000000,5000,100,150,64,64,10,0.493,0.543817,19.775
