N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,100,40,32,32,1,0.131,2.497, 459.104
1000000,5000,100,80,32,32,1,0.146,3.219, 454.080
1000000,5000,100,150,32,32,1,0.157,4.094, 456.137
1000000,5000,100,40,32,32,10,0.145,2.607, 469.099
1000000,5000,100,80,32,32,10,0.160,3.363, 462.382
1000000,5000,100,150,32,32,10,0.171,2.972, 447.440
1000000,5000,100,40,64,64,1,0.163,3.771, 441.172
1000000,5000,100,80,64,64,1,0.177,5.045, 462.320
1000000,5000,100,150,64,64,1,0.184,4.437, 438.964
1000000,5000,100,40,64,64,10,0.165,3.836, 452.509
1000000,5000,100,80,64,64,10,0.178,5.112, 462.180
1000000,5000,100,150,64,64,10,0.186,4.532, 446.505
